date,month_num,city,temperature_mean,temperature_max,temperature_min,humidity,rainfall_mm,co2_ppm,solar_rad,wind_speed,aqi
2014-01-01,1,Paris,3.2,8.1,-2.8,74.7,18.7,399.0,46.8,24.4,34.0
2014-02-01,2,Berlin,7.1,12.2,1.7,77.0,25.1,400.7,101.9,22.5,34.0
2014-03-01,3,Madrid,12.0,17.0,6.3,69.0,31.9,401.9,207.0,17.5,27.0
2014-04-01,4,Rome,17.2,22.6,10.6,69.8,34.9,400.2,285.1,12.2,32.0
2014-05-01,5,London,21.2,25.6,15.6,57.7,64.1,400.5,356.8,12.7,38.0
2014-06-01,6,Paris,22.3,27.6,16.5,51.2,68.8,399.1,384.0,9.5,57.0
2014-07-01,7,Berlin,20.0,24.5,14.4,51.6,85.1,398.5,367.3,10.9,48.0
2014-08-01,8,Madrid,16.6,22.1,9.9,45.1,78.5,397.0,295.8,15.2,74.0
2014-09-01,9,Rome,12.5,17.2,6.2,44.2,74.5,396.7,199.4,19.5,61.0
2014-10-01,10,London,6.8,10.8,0.2,50.2,54.2,398.2,109.9,22.5,63.0
2014-11-01,11,Paris,4.2,9.7,-1.7,56.3,44.0,399.1,53.9,24.9,65.0
2014-12-01,12,Berlin,1.7,7.5,-4.2,65.3,12.7,400.6,31.4,27.6,48.0
2015-01-01,13,Madrid,1.7,7.0,-4.0,71.0,13.7,402.4,57.9,22.8,33.0
2015-02-01,14,Rome,8.3,13.1,2.1,75.3,11.6,403.8,100.3,23.8,28.0
2015-03-01,15,London,14.1,19.2,8.7,69.4,33.8,404.5,214.0,14.6,30.0
2015-04-01,16,Paris,17.7,23.5,12.1,68.3,44.8,403.5,291.6,13.6,38.0
2015-05-01,17,Berlin,20.4,25.6,13.6,59.5,67.6,403.7,367.5,11.0,29.0
2015-06-01,18,Madrid,22.6,27.9,16.9,51.0,87.3,402.0,385.6,12.5,48.0
2015-07-01,19,Rome,21.1,27.2,15.3,46.5,81.1,401.4,356.8,12.1,61.0
2015-08-01,20,London,16.8,21.0,11.0,45.7,69.9,400.2,294.9,12.0,65.0
