gene,base_mean,log2fc,pvalue,padj
ACTB1,693.214,0.0821,1.0,1.0
BRCA1,19.004,0.18586,1.0,1.0
CDK1,3.973,0.14052,1.0,1.0
EGFR1,63.464,-0.41434,0.7147564041805595,1.0
FOX1,14.408,0.03052,1.0,1.0
GATA1,1087.777,0.20887,0.5882406549797429,1.0
HIF1,13.218,-0.3789,0.46218511548981545,1.0
IL1,82.973,0.35638,0.5123991359154517,1.0
JAK1,40.157,-0.35824,0.46271255127104066,1.0
KRAS1,67.388,0.00771,0.8922788211583952,1.0
LDH1,30.687,0.23808,0.46590792578808043,1.0
MYC1,198.32,0.1456,0.44643382204772475,1.0
NFK1,119.666,2.62249,2.3882877653135653e-06,0.00043423413914792097
PTEN1,11.248,0.32256,0.3560255123204395,1.0
RAS1,1518.991,-0.27041,0.31039280356480564,1.0
STAT1,1824.344,-0.0847,1.0,1.0
TP1,416.848,0.00762,0.6601936360173049,1.0
VEGF1,26.32,0.03874,0.5413159079616617,1.0
WNT1,9.822,-0.72091,0.2024279631752938,1.0
ZEB1,86.874,0.07294,0.7215416088759637,1.0
ACTB2,24.121,-0.08944,1.0,1.0
BRCA2,0.978,0.06755,1.0,1.0
CDK2,1.858,0.17306,0.9048654059156116,1.0
EGFR2,25.376,-0.12644,0.865037955118017,1.0
FOX2,65.747,-0.51994,0.3212780004967374,1.0
GATA2,86.617,-0.17577,1.0,1.0
HIF2,136.34,0.39899,0.5699319970768427,1.0
IL2,530.128,0.89638,0.06279420649011586,1.0
JAK2,578.038,-0.04495,1.0,1.0
KRAS2,10.718,-0.27426,0.6554071287147651,1.0
LDH2,23.264,-0.19072,0.671721250338797,1.0
MYC2,5.84,0.20421,1.0,1.0
NFK2,24.593,-0.45264,0.4094331131348578,1.0
PTEN2,347.98,-0.43365,0.4907136711481992,1.0
RAS2,525.048,-0.26115,0.5786871652799448,1.0
STAT2,122.7,-0.36584,0.6869917613551877,1.0
TP2,698.737,-0.16979,0.4580196956248851,1.0
VEGF2,10.478,-0.04462,0.8413334440594127,1.0
WNT2,66.452,-0.15908,0.793709468134515,1.0
ZEB2,50.595,0.37798,0.25357055136519274,1.0
ACTB3,6.821,0.00297,0.4183102203052892,1.0
BRCA3,6.708,0.0401,1.0,1.0
CDK3,610.472,0.13975,0.7909359739213311,1.0
EGFR3,48.641,-0.20284,0.8962576548419994,1.0
FOX3,53.886,0.39216,0.5527747268768247,1.0
GATA3,67.584,-0.36322,0.39366801384642774,1.0
HIF3,69.087,-0.09839,0.7716703128260475,1.0
IL3,55.096,-0.17042,1.0,1.0
JAK3,154.393,-0.77939,0.07781318891907986,1.0
KRAS3,914.926,0.52391,0.20199858032407433,1.0
LDH3,205.914,-0.14396,0.9109248753139852,1.0
MYC3,18.29,-0.0971,0.8176922546599006,1.0
NFK3,17.878,0.10448,0.7742975485715433,1.0
PTEN3,22.715,0.42419,0.4688083358962046,1.0
RAS3,33.822,-0.03657,1.0,1.0
STAT3,125.535,0.38069,0.24471450051700547,1.0
TP3,121.567,1.76974,0.0004935397826804061,0.03948318261443249
