compound,dose,replicate,response
Compound A,0.003,1,3.435
Compound A,0.003,2,4.168
Compound A,0.003,3,1.455
Compound A,0.01,1,0.912
Compound A,0.01,2,5.377
Compound A,0.01,3,3.156
Compound A,0.03,1,4.954
Compound A,0.03,2,7.852
Compound A,0.03,3,5.521
Compound A,0.1,1,17.207
Compound A,0.1,2,14.399
Compound A,0.1,3,16.431
Compound A,0.32,1,40.06
Compound A,0.32,2,46.947
Compound A,0.32,3,42.707
Compound A,1.0,1,71.791
Compound A,1.0,2,71.95
Compound A,1.0,3,76.096
Compound A,3.2,1,100.034
Compound A,3.2,2,99.198
Compound A,3.2,3,92.442
Compound A,10.0,1,85.241
Compound A,10.0,2,95.219
Compound A,10.0,3,94.256
Compound A,32.0,1,83.788
Compound A,32.0,2,92.629
Compound A,32.0,3,105.359
Compound A,100.0,1,104.692
Compound A,100.0,2,98.759
Compound A,100.0,3,102.526
Compound B,0.003,1,4.59
Compound B,0.003,2,4.357
Compound B,0.003,3,3.157
Compound B,0.01,1,4.808
Compound B,0.01,2,3.706
Compound B,0.01,3,6.289
Compound B,0.03,1,8.497
Compound B,0.03,2,1.834
Compound B,0.03,3,4.059
Compound B,0.1,1,5.281
Compound B,0.1,2,7.751
Compound B,0.1,3,0.622
Compound B,0.32,1,7.406
Compound B,0.32,2,9.207
Compound B,0.32,3,8.087
Compound B,1.0,1,18.697
Compound B,1.0,2,21.878
Compound B,1.0,3,21.026
Compound B,3.2,1,47.918
Compound B,3.2,2,49.009
Compound B,3.2,3,46.164
Compound B,10.0,1,70.348
Compound B,10.0,2,66.666
Compound B,10.0,3,80.617
Compound B,32.0,1,96.386
Compound B,32.0,2,85.037
Compound B,32.0,3,90.198
Compound B,100.0,1,95.716
Compound B,100.0,2,93.612
Compound B,100.0,3,95.23
Compound C,0.003,1,2.515
Compound C,0.003,2,6.41
Compound C,0.003,3,5.721
Compound C,0.01,1,6.31
Compound C,0.01,2,4.226
Compound C,0.01,3,7.235
Compound C,0.03,1,1.909
Compound C,0.03,2,3.572
Compound C,0.03,3,5.472
Compound C,0.1,1,6.013
Compound C,0.1,2,3.148
Compound C,0.1,3,2.335
Compound C,0.32,1,6.106
Compound C,0.32,2,5.0
Compound C,0.32,3,2.929
Compound C,1.0,1,3.874
Compound C,1.0,2,5.25
Compound C,1.0,3,3.996
Compound C,3.2,1,3.62
Compound C,3.2,2,7.687
Compound C,3.2,3,-0.116
Compound C,10.0,1,19.209
Compound C,10.0,2,20.185
Compound C,10.0,3,16.426
Compound C,32.0,1,73.906
Compound C,32.0,2,65.801
Compound C,32.0,3,60.254
Compound C,100.0,1,92.216
Compound C,100.0,2,92.945
Compound C,100.0,3,77.608
