x,y,label,pred,split
22.0744,4.311,B-cell,B-cell,test
0.7401,-12.4923,Erythrocyte,Erythrocyte,train
-13.7037,1.6593,Neutrophil,Neutrophil,train
-15.1774,-0.3928,Neutrophil,Neutrophil,test
-9.4136,7.3953,Monocyte,Monocyte,train
1.2694,-17.0376,Erythrocyte,Erythrocyte,train
16.2994,7.044,B-cell,B-cell,train
17.1881,6.6846,B-cell,B-cell,train
-13.612,4.3395,Monocyte,Monocyte,test
10.7861,-5.2051,NK,T-cell,train
-8.7757,-8.4111,Dendritic,Dendritic,test
-15.5083,0.4496,Neutrophil,Neutrophil,test
4.5077,-13.6194,Erythrocyte,Erythrocyte,train
-7.5271,8.4207,Monocyte,Monocyte,train
7.912,-4.215,B-cell,B-cell,train
-0.9004,-10.3931,Erythrocyte,Erythrocyte,train
17.5955,-0.0532,B-cell,B-cell,train
-14.6992,0.1047,Neutrophil,Neutrophil,train
8.5859,-8.6989,NK,B-cell,test
-14.4337,3.4361,Neutrophil,Neutrophil,train
17.4861,6.2976,T-cell,T-cell,test
-2.2564,-13.6033,Erythrocyte,Erythrocyte,train
11.8826,-7.5962,Platelet,Platelet,train
10.826,-8.6659,NK,NK,test
14.3623,-1.9108,B-cell,B-cell,train
15.9855,9.6217,T-cell,T-cell,train
8.4848,-10.9906,Platelet,Platelet,train
16.309,9.3125,T-cell,T-cell,train
20.05,-0.0946,B-cell,NK,test
13.3258,0.9227,T-cell,T-cell,train
2.7059,-19.3199,Platelet,Platelet,train
19.4729,-6.8665,NK,NK,test
-1.0204,-16.3807,Erythrocyte,Erythrocyte,test
17.9424,5.1769,B-cell,B-cell,test
18.8791,0.6032,B-cell,B-cell,train
21.3978,1.8207,B-cell,B-cell,train
17.0696,-3.5474,B-cell,B-cell,train
12.9459,1.0169,T-cell,T-cell,train
18.8719,-3.1053,NK,NK,train
1.0261,-12.1046,Erythrocyte,Erythrocyte,train
11.563,-3.8532,T-cell,T-cell,train
12.7756,-2.3098,T-cell,T-cell,train
-6.2103,14.5274,Monocyte,Monocyte,test
-10.8783,7.6358,Monocyte,Monocyte,train
-12.007,6.4226,Monocyte,Monocyte,train
-9.3775,-10.9247,Dendritic,Dendritic,test
23.8144,7.4925,B-cell,B-cell,train
-3.8672,-14.008,Erythrocyte,Erythrocyte,train
8.2924,-10.9606,Platelet,Platelet,test
1.8386,-12.9495,Erythrocyte,Erythrocyte,train
-1.5997,-11.9271,Erythrocyte,Erythrocyte,train
-16.7025,2.8673,Neutrophil,Neutrophil,train
17.6784,0.9506,B-cell,B-cell,train
11.3988,5.3228,T-cell,T-cell,train
20.1888,5.3677,B-cell,B-cell,train
15.4181,-1.5913,NK,NK,train
23.0386,0.6738,B-cell,B-cell,train
18.7494,-2.7685,NK,NK,train
-1.7024,-6.6711,Erythrocyte,Erythrocyte,train
-11.3194,13.4668,Monocyte,Monocyte,test
16.519,-0.6175,T-cell,T-cell,train
15.4274,-4.7272,T-cell,T-cell,train
-6.1974,10.7152,Monocyte,Monocyte,train
-14.4558,-5.1477,Neutrophil,Neutrophil,test
-16.0648,-0.5679,Neutrophil,Neutrophil,train
13.9539,-6.4054,NK,NK,test
-16.9793,-5.1784,Neutrophil,Neutrophil,train
17.3311,-3.5924,B-cell,B-cell,train
21.5698,6.05,B-cell,B-cell,train
-14.9573,1.0823,Neutrophil,Neutrophil,test
5.6391,-20.6531,Erythrocyte,Erythrocyte,train
-9.4819,-11.1634,Dendritic,Dendritic,train
-1.3176,-14.3314,Erythrocyte,Erythrocyte,train
7.7395,-10.7475,Platelet,Platelet,train
-16.1106,-2.7317,Neutrophil,Neutrophil,train
-5.9251,12.3909,Monocyte,Monocyte,train
-12.3516,2.7666,Neutrophil,Neutrophil,train
-8.4474,15.4511,Monocyte,Monocyte,train
-15.3333,-1.2912,Neutrophil,Neutrophil,train
19.156,-6.049,NK,NK,test
11.5725,-2.7451,T-cell,NK,train
17.3818,-0.6174,B-cell,B-cell,test
9.7529,-0.1387,T-cell,T-cell,test
12.5702,-1.1528,T-cell,T-cell,train
-9.3138,10.365,Monocyte,Monocyte,train
-8.555,11.5656,Monocyte,Monocyte,train
18.8376,-4.2649,NK,NK,train
10.1052,-2.3745,T-cell,T-cell,train
14.375,-6.9352,T-cell,T-cell,test
18.1617,6.4653,T-cell,T-cell,train
14.0454,3.3962,T-cell,T-cell,train
-8.6648,6.0202,Monocyte,Monocyte,train
22.5047,3.8944,T-cell,T-cell,test
13.642,-7.8666,Platelet,Platelet,train
3.9033,-19.048,Erythrocyte,Erythrocyte,train
14.6212,-3.1559,B-cell,B-cell,train
-9.4454,0.9773,Neutrophil,Neutrophil,train
-11.929,2.9217,Neutrophil,T-cell,train
7.8804,-4.7854,NK,NK,test
13.9585,5.0963,T-cell,NK,train
-2.1602,-9.3916,Erythrocyte,Erythrocyte,test
17.6429,0.399,T-cell,T-cell,train
-9.9302,7.1101,Monocyte,Monocyte,train
13.7018,2.1031,T-cell,T-cell,train
20.4611,6.0927,B-cell,B-cell,train
5.6293,-12.375,Platelet,Platelet,train
-1.0739,-11.454,Erythrocyte,Erythrocyte,train
-13.969,0.7758,Neutrophil,Neutrophil,test
24.1667,8.1991,B-cell,B-cell,train
-10.8962,5.0765,Monocyte,Monocyte,test
20.6893,4.0995,B-cell,B-cell,test
21.3186,5.0104,B-cell,B-cell,train
-14.1373,1.5562,Neutrophil,Neutrophil,test
5.6983,-11.0042,Platelet,Platelet,train
16.5779,-4.5763,B-cell,B-cell,test
15.1213,-3.866,NK,NK,train
21.3222,9.1068,B-cell,T-cell,test
-12.2178,12.6719,Monocyte,Monocyte,test
-11.9798,-11.9639,Dendritic,Dendritic,train
-10.9918,9.0154,Monocyte,Monocyte,train
-11.9004,7.3656,Monocyte,Monocyte,train
-14.2206,1.3277,Neutrophil,Neutrophil,train
0.43,-15.2488,Erythrocyte,Erythrocyte,train
-10.8138,11.2718,Monocyte,Monocyte,test
13.0897,-6.4431,NK,NK,train
-14.7853,-0.535,Neutrophil,Neutrophil,train
-12.681,5.1243,Neutrophil,Neutrophil,test
-10.9289,13.3011,Monocyte,Monocyte,train
9.2529,-10.5804,Platelet,Platelet,train
-8.6358,9.4623,Monocyte,Monocyte,train
-11.8234,-1.3965,Neutrophil,Neutrophil,train
20.8564,3.6167,B-cell,B-cell,train
10.5068,-0.5452,NK,NK,test
13.0346,-2.4812,T-cell,B-cell,train
14.3902,-2.8801,B-cell,B-cell,train
-9.0081,13.4785,Monocyte,Monocyte,test
5.8689,-12.4156,Platelet,Platelet,train
15.0749,-2.9434,T-cell,T-cell,train
2.8108,-15.7987,Erythrocyte,Erythrocyte,train
13.3975,-3.6345,T-cell,T-cell,train
19.7346,-1.5555,NK,NK,test
13.0721,-3.7979,B-cell,B-cell,train
-15.0613,-11.6229,Dendritic,Dendritic,test
-14.6598,-1.5064,Neutrophil,Neutrophil,test
19.1432,4.2276,B-cell,B-cell,train
-14.0931,1.5636,Neutrophil,Neutrophil,train
-7.0882,11.6912,Monocyte,Monocyte,test
11.2158,-9.4798,Platelet,NK,train
-12.3382,8.2309,Monocyte,Monocyte,test
-3.2718,-16.4208,Erythrocyte,Erythrocyte,test
19.8846,3.6851,B-cell,B-cell,train
13.0149,-7.8312,T-cell,T-cell,train
-2.1536,-10.7527,Erythrocyte,Erythrocyte,train
-6.5505,12.1242,Monocyte,Monocyte,train
17.882,11.4047,T-cell,T-cell,train
-10.0767,-12.6249,Dendritic,Dendritic,train
-12.158,2.211,Neutrophil,Neutrophil,test
8.5065,-13.3817,Platelet,Platelet,test
13.9886,-0.402,B-cell,B-cell,test
-14.3957,4.9709,Neutrophil,Neutrophil,train
-12.9663,8.2837,Monocyte,Monocyte,train
-9.2801,-10.3035,Dendritic,NK,test
-14.5663,9.7603,Monocyte,Monocyte,train
22.0569,0.2751,B-cell,B-cell,train
17.3476,-0.6276,T-cell,T-cell,train
-4.3671,-7.1112,Dendritic,Dendritic,test
13.82,0.4324,T-cell,T-cell,test
14.8435,3.1305,T-cell,B-cell,test
-9.4841,1.8873,Neutrophil,Neutrophil,train
15.7441,3.838,B-cell,T-cell,train
21.1474,-0.7462,B-cell,B-cell,train
-12.7295,1.4811,Neutrophil,Neutrophil,test
13.1961,-5.0232,T-cell,T-cell,test
-12.3405,-7.0692,Dendritic,Dendritic,train
16.904,6.9679,T-cell,T-cell,test
20.0756,4.1777,B-cell,B-cell,train
-11.3809,8.3186,Monocyte,Monocyte,train
16.9413,-8.5609,NK,T-cell,train
20.7167,6.4701,B-cell,B-cell,train
-15.7109,-1.0598,Neutrophil,Neutrophil,test
-9.8639,10.3932,Monocyte,Monocyte,train
-6.9716,-8.6028,Dendritic,Dendritic,train
19.1524,-0.9768,B-cell,T-cell,test
14.6225,-4.1676,Platelet,Platelet,train
-8.6761,12.5627,Monocyte,Monocyte,train
-4.8503,-13.8617,Erythrocyte,Erythrocyte,train
-8.6963,4.3951,Neutrophil,Neutrophil,train
-16.8656,-0.7265,Neutrophil,Neutrophil,train
15.3396,-0.5306,T-cell,T-cell,train
17.7978,3.8158,B-cell,T-cell,test
14.4051,-2.7854,T-cell,T-cell,test
-12.0897,-12.1372,Dendritic,Dendritic,train
-11.8713,4.7663,Monocyte,Monocyte,test
-7.4112,-7.4074,Dendritic,Dendritic,train
15.1154,3.2507,T-cell,T-cell,train
11.3266,-1.19,T-cell,B-cell,train
16.9356,3.7402,T-cell,T-cell,train
9.9276,-5.4836,T-cell,T-cell,train
-10.8796,8.0461,Monocyte,Monocyte,test
10.816,-3.3954,NK,NK,train
24.3899,8.6047,B-cell,B-cell,train
-9.4758,11.6617,Monocyte,Monocyte,train
-4.4042,-8.7216,Dendritic,Dendritic,train
-14.6816,-1.7535,Neutrophil,Neutrophil,test
13.8228,-8.5038,Platelet,Platelet,train
16.2833,-7.4837,NK,NK,train
-14.1436,0.2617,Neutrophil,Neutrophil,train
-1.7985,-11.8801,Erythrocyte,Erythrocyte,test
-10.9051,1.3874,Neutrophil,Neutrophil,train
14.397,-7.7781,NK,NK,train
3.9844,-16.937,Erythrocyte,Erythrocyte,train
11.5968,-10.577,Platelet,Platelet,train
15.2167,-5.0318,T-cell,T-cell,train
15.531,5.0076,B-cell,B-cell,train
19.838,-4.0385,NK,NK,train
15.9634,0.6205,T-cell,T-cell,train
9.3263,-4.8815,NK,NK,test
15.0169,2.4383,B-cell,NK,test
-1.0221,-11.1324,Erythrocyte,Erythrocyte,train
-9.0402,13.4333,Monocyte,Dendritic,test
-17.7837,-4.4448,Neutrophil,Platelet,train
-11.9054,-8.2518,Dendritic,Dendritic,train
-18.2129,-6.0793,Neutrophil,Neutrophil,train
13.567,-2.7078,T-cell,T-cell,train
8.0957,-11.4109,Platelet,Platelet,train
8.0918,-5.9041,T-cell,B-cell,train
22.6466,-3.4484,NK,NK,train
-5.3458,7.5645,Monocyte,Monocyte,train
13.0936,-5.0375,T-cell,T-cell,test
-9.1404,-4.5786,Dendritic,Dendritic,test
-17.5078,-5.9102,Neutrophil,Neutrophil,train
-12.5515,3.2136,Neutrophil,Neutrophil,train
-2.4672,-10.9164,Erythrocyte,Erythrocyte,train
-9.7419,11.2248,Monocyte,Monocyte,train
14.9617,3.7546,T-cell,T-cell,train
