study,subgroup,estimate,ci_low,ci_high,n_treatment,n_control,weight
Alvarez 2016,Early stage,0.8009,0.54,1.1879,165,283,24.7211
Bianchi 2017,Early stage,0.8402,0.5867,1.2033,188,258,29.7808
Chen 2018,Early stage,0.8582,0.6608,1.1144,324,311,56.259
Dubois 2018,Early stage,0.7092,0.517,0.9727,127,117,38.4744
Eriksen 2019,Early stage,0.5798,0.4105,0.8189,146,303,32.2292
Ferreira 2019,Advanced stage,0.7248,0.5472,0.9601,127,354,48.6115
Gupta 2020,Advanced stage,0.8642,0.6179,1.2085,347,156,34.1547
Haas 2020,Advanced stage,0.9067,0.7279,1.1294,392,376,79.6084
Ibrahim 2021,Advanced stage,0.8158,0.6359,1.0465,396,175,61.9016
Jensen 2021,Advanced stage,0.9838,0.49,1.9752,51,55,7.9066
Kowalski 2022,Recurrent,1.0353,0.7893,1.358,248,347,52.1973
Liu 2022,Recurrent,1.0284,0.7229,1.463,379,138,30.9186
Moreau 2023,Recurrent,0.8857,0.6443,1.2177,259,254,37.9121
Nakamura 2023,Recurrent,1.0293,0.7036,1.5058,334,125,26.5428
Okafor 2024,Recurrent,0.8959,0.7095,1.1313,276,181,70.5997
