lr,batch_size,weight_decay,val_score,train_score
0.0001,16,0.0,0.83338,0.86666
0.0001,16,0.0001,0.83618,0.87059
0.0001,16,0.01,0.82341,0.8584
0.0001,32,0.0,0.85267,0.88331
0.0001,32,0.0001,0.85608,0.88842
0.0001,32,0.01,0.85098,0.89234
0.0001,64,0.0,0.85834,0.90294
0.0001,64,0.0001,0.87214,0.90466
0.0001,64,0.01,0.86208,0.89587
0.0001,128,0.0,0.85033,0.88433
0.0001,128,0.0001,0.86097,0.89967
0.0001,128,0.01,0.84827,0.88596
0.0001,256,0.0,0.83586,0.87354
0.0001,256,0.0001,0.84272,0.87606
0.0001,256,0.01,0.82734,0.85697
0.0003,16,0.0,0.86815,0.90573
0.0003,16,0.0001,0.86374,0.89386
0.0003,16,0.01,0.85767,0.89314
0.0003,32,0.0,0.89297,0.92336
0.0003,32,0.0001,0.88889,0.93004
0.0003,32,0.01,0.8833,0.91625
0.0003,64,0.0,0.89105,0.918
0.0003,64,0.0001,0.89612,0.92801
0.0003,64,0.01,0.89371,0.92646
0.0003,128,0.0,0.88444,0.92084
0.0003,128,0.0001,0.89586,0.92615
0.0003,128,0.01,0.88176,0.91224
0.0003,256,0.0,0.86489,0.90433
0.0003,256,0.0001,0.87098,0.90142
0.0003,256,0.01,0.85325,0.89066
0.001,16,0.0,0.87921,0.90585
0.001,16,0.0001,0.87884,0.91293
0.001,16,0.01,0.87486,0.91696
0.001,32,0.0,0.89578,0.92806
0.001,32,0.0001,0.89875,0.92867
0.001,32,0.01,0.89829,0.93565
0.001,64,0.0,0.9092,0.95264
0.001,64,0.0001,0.91463,0.95031
0.001,64,0.01,0.90091,0.93553
0.001,128,0.0,0.90503,0.93993
0.001,128,0.0001,0.90411,0.93648
0.001,128,0.01,0.89193,0.92475
0.001,256,0.0,0.88055,0.9143
0.001,256,0.0001,0.88137,0.91984
0.001,256,0.01,0.87854,0.91427
0.003,16,0.0,0.86175,0.89221
0.003,16,0.0001,0.8749,0.90806
0.003,16,0.01,0.86203,0.89529
0.003,32,0.0,0.89405,0.93524
0.003,32,0.0001,0.89352,0.92714
0.003,32,0.01,0.88231,0.91247
0.003,64,0.0,0.90073,0.93317
0.003,64,0.0001,0.89998,0.93794
0.003,64,0.01,0.89064,0.92986
0.003,128,0.0,0.89263,0.92735
0.003,128,0.0001,0.89664,0.93904
0.003,128,0.01,0.88536,0.92456
0.003,256,0.0,0.864,0.89823
0.003,256,0.0001,0.86999,0.89227
0.003,256,0.01,0.85845,0.89157
0.01,16,0.0,0.82741,0.8575
0.01,16,0.0001,0.83167,0.86892
0.01,16,0.01,0.82509,0.85172
0.01,32,0.0,0.85405,0.88612
0.01,32,0.0001,0.85468,0.89093
0.01,32,0.01,0.84519,0.8863
0.01,64,0.0,0.85926,0.89082
0.01,64,0.0001,0.86784,0.90182
0.01,64,0.01,0.85458,0.89099
0.01,128,0.0,0.85957,0.89126
0.01,128,0.0001,0.8567,0.89128
0.01,128,0.01,0.84519,0.88091
0.01,256,0.0,0.8292,0.85982
0.01,256,0.0001,0.83967,0.88626
0.01,256,0.01,0.82587,0.86061
0.03,16,0.0,0.34923,0.38255
0.03,16,0.0001,0.32017,0.35202
0.03,16,0.01,0.33293,0.36465
0.03,32,0.0,0.30868,0.34448
0.03,32,0.0001,0.26849,0.30781
0.03,32,0.01,0.31261,0.34185
0.03,64,0.0,0.32744,0.36692
0.03,64,0.0001,0.34533,0.38679
0.03,64,0.01,0.32121,0.35867
0.03,128,0.0,0.32147,0.35671
0.03,128,0.0001,0.341,0.37185
0.03,128,0.01,0.33524,0.36959
0.03,256,0.0,0.30419,0.34158
0.03,256,0.0001,0.32841,0.3614
0.03,256,0.01,0.30742,0.34567
