model,train_size,seed,score
Scratch CNN,100,0,0.33754
Scratch CNN,100,1,0.32843
Scratch CNN,100,2,0.29839
Scratch CNN,100,3,0.27756
Scratch CNN,100,4,0.4108
Scratch CNN,250,0,0.60467
Scratch CNN,250,1,0.48667
Scratch CNN,250,2,0.55226
Scratch CNN,250,3,0.63479
Scratch CNN,250,4,0.5696
Scratch CNN,500,0,0.68261
Scratch CNN,500,1,0.67745
Scratch CNN,500,2,0.69682
Scratch CNN,500,3,0.67593
Scratch CNN,500,4,0.68414
Scratch CNN,1000,0,0.74191
Scratch CNN,1000,1,0.79696
Scratch CNN,1000,2,0.78134
Scratch CNN,1000,3,0.81339
Scratch CNN,1000,4,0.78147
Scratch CNN,2500,0,0.79958
Scratch CNN,2500,1,0.81538
Scratch CNN,2500,2,0.81861
Scratch CNN,2500,3,0.80224
Scratch CNN,2500,4,0.80755
Scratch CNN,5000,0,0.84683
Scratch CNN,5000,1,0.85492
Scratch CNN,5000,2,0.85699
Scratch CNN,5000,3,0.84465
Scratch CNN,5000,4,0.86284
Scratch CNN,12500,0,0.87571
Scratch CNN,12500,1,0.88407
Scratch CNN,12500,2,0.86975
Scratch CNN,12500,3,0.87427
Scratch CNN,12500,4,0.8772
Scratch CNN,25000,0,0.88093
Scratch CNN,25000,1,0.87753
Scratch CNN,25000,2,0.87378
Scratch CNN,25000,3,0.85611
Scratch CNN,25000,4,0.87267
Scratch CNN,50000,0,0.88361
Scratch CNN,50000,1,0.89679
Scratch CNN,50000,2,0.89664
Scratch CNN,50000,3,0.88412
Scratch CNN,50000,4,0.87621
ImageNet pre-trained,100,0,0.50238
ImageNet pre-trained,100,1,0.5226
ImageNet pre-trained,100,2,0.48788
ImageNet pre-trained,100,3,0.50565
ImageNet pre-trained,100,4,0.47565
ImageNet pre-trained,250,0,0.6412
ImageNet pre-trained,250,1,0.6534
ImageNet pre-trained,250,2,0.6278
ImageNet pre-trained,250,3,0.66207
ImageNet pre-trained,250,4,0.64879
ImageNet pre-trained,500,0,0.75293
ImageNet pre-trained,500,1,0.72917
ImageNet pre-trained,500,2,0.79113
ImageNet pre-trained,500,3,0.68631
ImageNet pre-trained,500,4,0.71397
ImageNet pre-trained,1000,0,0.77519
ImageNet pre-trained,1000,1,0.77665
ImageNet pre-trained,1000,2,0.80426
ImageNet pre-trained,1000,3,0.77643
ImageNet pre-trained,1000,4,0.79515
ImageNet pre-trained,2500,0,0.84064
ImageNet pre-trained,2500,1,0.85705
ImageNet pre-trained,2500,2,0.81303
ImageNet pre-trained,2500,3,0.86677
ImageNet pre-trained,2500,4,0.84199
ImageNet pre-trained,5000,0,0.84386
ImageNet pre-trained,5000,1,0.84166
ImageNet pre-trained,5000,2,0.87168
ImageNet pre-trained,5000,3,0.8449
ImageNet pre-trained,5000,4,0.85292
ImageNet pre-trained,12500,0,0.88606
ImageNet pre-trained,12500,1,0.88692
ImageNet pre-trained,12500,2,0.87473
ImageNet pre-trained,12500,3,0.86002
ImageNet pre-trained,12500,4,0.90553
ImageNet pre-trained,25000,0,0.91706
ImageNet pre-trained,25000,1,0.89858
ImageNet pre-trained,25000,2,0.88863
ImageNet pre-trained,25000,3,0.90412
ImageNet pre-trained,25000,4,0.88426
ImageNet pre-trained,50000,0,0.88704
ImageNet pre-trained,50000,1,0.91403
ImageNet pre-trained,50000,2,0.90524
ImageNet pre-trained,50000,3,0.88762
ImageNet pre-trained,50000,4,0.91366
Self-supervised pre-trained,100,0,0.73519
Self-supervised pre-trained,100,1,0.56126
Self-supervised pre-trained,100,2,0.59629
Self-supervised pre-trained,100,3,0.54959
Self-supervised pre-trained,100,4,0.59505
Self-supervised pre-trained,250,0,0.74827
Self-supervised pre-trained,250,1,0.76851
Self-supervised pre-trained,250,2,0.65099
Self-supervised pre-trained,250,3,0.65652
Self-supervised pre-trained,250,4,0.679
Self-supervised pre-trained,500,0,0.77147
Self-supervised pre-trained,500,1,0.72308
Self-supervised pre-trained,500,2,0.80474
Self-supervised pre-trained,500,3,0.75671
Self-supervised pre-trained,500,4,0.76765
Self-supervised pre-trained,1000,0,0.83278
Self-supervised pre-trained,1000,1,0.81732
Self-supervised pre-trained,1000,2,0.83006
Self-supervised pre-trained,1000,3,0.81341
Self-supervised pre-trained,1000,4,0.83459
Self-supervised pre-trained,2500,0,0.87066
Self-supervised pre-trained,2500,1,0.85761
Self-supervised pre-trained,2500,2,0.8548
Self-supervised pre-trained,2500,3,0.8511
Self-supervised pre-trained,2500,4,0.83701
Self-supervised pre-trained,5000,0,0.87119
Self-supervised pre-trained,5000,1,0.8821
Self-supervised pre-trained,5000,2,0.83667
Self-supervised pre-trained,5000,3,0.87087
Self-supervised pre-trained,5000,4,0.88509
Self-supervised pre-trained,12500,0,0.87893
Self-supervised pre-trained,12500,1,0.8992
Self-supervised pre-trained,12500,2,0.90745
Self-supervised pre-trained,12500,3,0.86996
Self-supervised pre-trained,12500,4,0.89197
Self-supervised pre-trained,25000,0,0.88423
Self-supervised pre-trained,25000,1,0.87974
Self-supervised pre-trained,25000,2,0.88957
Self-supervised pre-trained,25000,3,0.88256
Self-supervised pre-trained,25000,4,0.90194
Self-supervised pre-trained,50000,0,0.89861
Self-supervised pre-trained,50000,1,0.91862
Self-supervised pre-trained,50000,2,0.88637
Self-supervised pre-trained,50000,3,0.90843
Self-supervised pre-trained,50000,4,0.92029
