subject,method_a,method_b,reader
S000,26.653,22.633,Reader 1
S001,62.616,51.486,Reader 1
S002,49.949,43.69,Reader 1
S003,52.999,47.871,Reader 2
S004,45.677,44.535,Reader 2
S005,38.158,25.968,Reader 2
S006,67.697,61.811,Reader 1
S007,38.148,29.359,Reader 1
S008,49.58,49.376,Reader 1
S009,62.107,57.05,Reader 1
S010,24.707,18.406,Reader 1
S011,48.467,49.507,Reader 1
S012,57.741,53.288,Reader 1
S013,62.143,55.628,Reader 2
S014,40.424,33.507,Reader 1
S015,30.48,25.457,Reader 1
S016,27.58,25.199,Reader 2
S017,45.153,37.764,Reader 2
S018,35.221,33.124,Reader 2
S019,45.977,43.229,Reader 2
S020,26.319,23.89,Reader 2
S021,59.525,51.744,Reader 2
S022,42.555,34.583,Reader 2
S023,67.273,58.933,Reader 2
S024,60.771,54.991,Reader 1
S025,31.578,27.578,Reader 1
S026,30.32,27.784,Reader 1
S027,27.014,30.162,Reader 1
S028,47.777,51.232,Reader 2
S029,69.129,65.951,Reader 1
S030,47.083,38.418,Reader 1
S031,47.039,39.532,Reader 1
S032,66.709,65.045,Reader 1
S033,66.687,60.521,Reader 2
S034,40.257,27.172,Reader 2
S035,31.517,22.063,Reader 2
S036,44.662,33.61,Reader 1
S037,65.863,55.917,Reader 1
S038,62.028,58.316,Reader 1
S039,37.452,33.762,Reader 1
S040,53.252,46.053,Reader 1
S041,47.088,49.145,Reader 2
S042,27.014,22.699,Reader 1
S043,43.067,35.314,Reader 2
S044,23.139,21.955,Reader 2
S045,37.978,40.228,Reader 1
S046,45.257,35.864,Reader 1
S047,43.597,39.044,Reader 2
S048,39.264,39.67,Reader 2
S049,41.776,37.23,Reader 2
S050,58.846,51.099,Reader 2
S051,50.96,44.101,Reader 2
S052,57.78,53.205,Reader 1
S053,46.995,48.25,Reader 1
S054,25.96,23.36,Reader 1
S055,40.408,43.451,Reader 2
S056,35.506,34.326,Reader 1
S057,39.436,35.345,Reader 2
S058,51.166,43.89,Reader 1
S059,38.062,35.781,Reader 2
S060,71.1,64.413,Reader 2
S061,64.79,59.9,Reader 2
S062,36.007,37.755,Reader 2
S063,34.8,30.021,Reader 1
S064,34.818,27.107,Reader 1
S065,72.332,64.361,Reader 1
S066,26.675,28.233,Reader 1
S067,32.09,30.793,Reader 1
S068,20.091,20.544,Reader 2
S069,62.54,56.24,Reader 2
S070,48.935,39.753,Reader 2
S071,37.034,35.573,Reader 1
S072,32.796,31.097,Reader 1
S073,30.038,29.571,Reader 2
S074,70.411,55.717,Reader 2
S075,49.814,47.93,Reader 1
S076,68.873,63.018,Reader 2
S077,44.87,46.072,Reader 1
S078,62.664,56.877,Reader 2
S079,30.198,30.781,Reader 1
S080,63.419,51.071,Reader 1
S081,70.705,58.348,Reader 2
S082,21.749,19.092,Reader 1
S083,34.469,34.435,Reader 1
S084,34.761,33.664,Reader 1
S085,49.143,46.938,Reader 1
S086,36.317,30.015,Reader 2
S087,30.473,26.615,Reader 2
S088,63.367,58.018,Reader 1
S089,36.219,35.831,Reader 2
S090,72.481,60.937,Reader 2
S091,38.076,37.431,Reader 2
S092,58.115,54.437,Reader 2
S093,49.822,49.064,Reader 1
S094,47.469,50.587,Reader 2
S095,66.532,59.249,Reader 2
S096,56.508,48.264,Reader 2
S097,71.295,66.831,Reader 2
S098,39.744,38.886,Reader 2
S099,26.207,27.378,Reader 1
S100,67.248,58.004,Reader 2
S101,28.077,25.086,Reader 1
S102,26.56,22.553,Reader 2
S103,23.967,26.751,Reader 1
S104,52.494,49.518,Reader 2
S105,49.612,44.828,Reader 2
S106,68.466,61.074,Reader 2
S107,59.347,52.52,Reader 2
S108,24.197,23.57,Reader 2
S109,36.645,30.045,Reader 2
S110,59.582,58.434,Reader 2
S111,61.853,57.339,Reader 1
S112,50.546,49.736,Reader 1
S113,34.078,30.657,Reader 2
S114,26.205,23.901,Reader 1
S115,64.654,58.744,Reader 1
S116,29.041,24.919,Reader 1
S117,52.515,42.137,Reader 1
S118,25.925,23.402,Reader 2
S119,64.072,58.394,Reader 2
S120,73.065,65.035,Reader 2
S121,29.579,21.56,Reader 2
S122,45.149,44.088,Reader 1
S123,54.529,48.971,Reader 2
S124,63.272,53.398,Reader 1
S125,72.469,64.825,Reader 1
S126,62.254,50.817,Reader 2
S127,70.57,67.236,Reader 1
S128,46.562,43.133,Reader 1
S129,69.144,61.652,Reader 1
S130,57.816,53.039,Reader 1
S131,46.321,46.59,Reader 1
S132,59.726,49.999,Reader 1
S133,45.272,43.996,Reader 2
S134,61.075,56.792,Reader 2
S135,54.016,49.789,Reader 1
S136,52.537,53.905,Reader 2
S137,56.705,49.026,Reader 1
S138,41.823,36.835,Reader 1
S139,41.134,36.946,Reader 2
