model,family,params_m,accuracy,latency_ms,flops_g
MobileNetV3-S,CNN,2.5,0.67281,3.007,1.083
MobileNetV3-L,CNN,5.4,0.75054,5.584,1.617
EfficientNet-B0,CNN,5.3,0.76941,7.713,1.84
EfficientNet-B3,CNN,12.0,0.81447,21.728,3.725
ResNet-18,CNN,11.7,0.6979,5.963,3.148
ResNet-50,CNN,25.6,0.75782,14.957,10.228
ResNet-152,CNN,60.2,0.78266,38.543,20.13
ConvNeXt-T,CNN,28.6,0.82062,19.121,10.703
ConvNeXt-B,CNN,88.6,0.84089,46.937,30.107
DeiT-S,Transformer,22.1,0.79797,15.214,7.997
ViT-B/16,Transformer,86.6,0.80975,45.73,25.373
ViT-L/16,Transformer,304.3,0.83021,131.882,94.594
Swin-T,Transformer,28.3,0.81143,21.695,8.655
Swin-B,Transformer,87.8,0.83324,51.964,28.747
MLP-Mixer-B,MLP,59.9,0.76528,31.133,16.125
DistilBERT-ish,MLP,22.4,0.72978,12.392,11.029
