x,y,group
40.76,14.0384,Healthy
57.31,15.1086,Healthy
44.47,14.5137,Healthy
63.92,17.0707,Healthy
42.17,15.9037,Healthy
47.88,14.3143,Healthy
65.17,16.5961,Healthy
65.27,19.0143,Healthy
56.31,15.5412,Healthy
32.57,15.1181,Healthy
50.28,17.6663,Healthy
49.22,16.5323,Healthy
61.41,18.2635,Healthy
31.38,14.5137,Healthy
72.11,19.82,Healthy
51.72,16.8147,Healthy
57.03,16.1455,Healthy
63.66,17.2229,Healthy
66.23,18.7204,Healthy
57.93,18.5514,Healthy
87.02,20.6776,Healthy
53.29,18.1435,Healthy
67.44,15.2362,Healthy
55.5,15.6908,Healthy
76.77,20.5319,Healthy
53.39,17.3682,Healthy
49.63,16.6447,Healthy
76.37,18.2997,Healthy
46.46,17.2854,Healthy
46.76,16.3344,Healthy
67.46,18.5866,Healthy
66.62,18.6108,Healthy
51.58,15.9752,Healthy
35.33,13.7778,Healthy
53.6,15.1777,Healthy
29.61,16.0295,Healthy
68.52,18.5472,Healthy
26.96,14.0765,Healthy
39.73,17.8973,Healthy
53.84,17.5148,Healthy
69.37,17.433,Healthy
70.88,18.8222,Healthy
67.79,17.0574,Healthy
52.29,13.8803,Healthy
36.27,17.2774,Healthy
62.51,16.8465,Healthy
56.46,16.6806,Healthy
65.02,18.8911,Healthy
60.54,17.3179,Healthy
54.45,15.1311,Healthy
46.04,16.1774,Healthy
58.62,14.5724,Healthy
78.36,18.3782,Healthy
86.38,18.4712,Healthy
42.48,15.5287,Healthy
38.85,16.2693,Healthy
62.27,16.2741,Healthy
73.93,18.0474,Healthy
23.79,15.8219,Healthy
46.87,16.6796,Healthy
70.65,20.0599,Healthy
49.1,15.0937,Healthy
61.16,16.5804,Healthy
66.71,20.978,Healthy
60.28,17.5035,Healthy
53.93,15.497,Healthy
60.58,14.5139,Healthy
58.84,15.7164,Healthy
72.27,21.2473,Healthy
61.08,17.7263,Healthy
36.49,15.9639,Healthy
70.94,15.2287,Healthy
41.08,16.2141,Healthy
70.93,20.7956,Healthy
45.0,15.4534,Healthy
54.06,14.992,Healthy
62.38,14.7606,Healthy
47.78,16.9999,Healthy
65.41,18.0872,Healthy
38.19,14.6105,Healthy
37.11,16.5921,Healthy
48.77,17.3153,Healthy
36.23,14.9633,Healthy
41.68,16.6453,Healthy
52.62,17.431,Healthy
64.31,16.2664,Healthy
69.33,18.326,Healthy
58.49,16.737,Healthy
44.92,17.8235,Healthy
58.25,16.2351,Healthy
68.82,17.1339,Healthy
66.91,19.7875,Healthy
38.3,15.8454,Healthy
62.49,17.5387,Healthy
51.26,16.9571,Healthy
59.01,16.9842,Healthy
63.36,18.0241,Healthy
30.1,15.6689,Healthy
51.99,19.247,Healthy
42.88,13.2048,Healthy
65.21,17.9901,Healthy
47.09,16.1658,Healthy
58.65,16.1683,Healthy
61.3,19.0878,Healthy
51.58,13.7402,Healthy
45.59,14.044,Healthy
42.04,13.4862,Healthy
59.05,14.2661,Healthy
44.59,14.1667,Healthy
41.7,15.5485,Healthy
85.16,19.1683,Healthy
67.09,19.307,Healthy
57.33,14.8714,Healthy
51.65,16.9813,Healthy
38.97,14.0828,Healthy
62.58,15.3761,Healthy
49.55,14.3854,Healthy
43.86,16.4317,Healthy
51.99,15.4827,Healthy
63.85,18.4565,Healthy
62.03,18.9593,Healthy
29.92,12.5165,Healthy
45.53,17.6051,Healthy
53.28,15.8749,Healthy
64.06,19.4804,Healthy
72.75,19.0674,Healthy
32.25,14.1049,Healthy
49.04,16.8387,Healthy
45.3,16.2737,Healthy
41.1,14.9443,Healthy
49.35,18.2423,Healthy
60.62,16.4346,Healthy
57.52,17.4788,Healthy
53.62,18.4421,Healthy
48.07,15.8847,Healthy
23.75,13.3711,Healthy
63.97,17.903,Healthy
49.61,16.2789,Healthy
64.75,16.9541,Healthy
57.79,19.8451,Healthy
62.66,17.1338,Healthy
72.87,17.2819,Healthy
56.79,16.6833,Healthy
48.09,17.6909,Healthy
56.39,15.2044,Healthy
39.01,16.2159,Healthy
52.22,18.7641,Healthy
65.65,16.328,Healthy
54.53,15.5609,Healthy
59.16,18.3519,Healthy
54.81,16.0204,Healthy
89.0,20.7743,Healthy
34.01,14.201,Healthy
34.21,13.7366,Healthy
64.03,15.329,Healthy
54.4,16.3528,Healthy
64.31,17.4778,Healthy
76.94,18.4242,Healthy
44.57,13.9242,Healthy
64.14,14.6818,Healthy
48.89,26.2401,Disease
63.37,29.2627,Disease
38.57,19.8282,Disease
65.03,29.1518,Disease
58.91,26.8983,Disease
46.67,27.3078,Disease
39.84,25.1075,Disease
35.11,24.1839,Disease
61.26,27.428,Disease
62.95,30.0193,Disease
64.33,24.5467,Disease
59.56,28.4761,Disease
53.43,29.0624,Disease
56.81,25.7736,Disease
55.57,26.5304,Disease
44.74,24.4838,Disease
40.15,21.9526,Disease
56.5,25.8385,Disease
30.54,23.3387,Disease
49.12,26.0555,Disease
34.66,25.3362,Disease
44.14,23.0929,Disease
52.94,21.4091,Disease
46.63,25.3862,Disease
78.92,31.0754,Disease
47.25,28.7234,Disease
41.09,17.0459,Disease
41.17,22.0802,Disease
74.78,26.002,Disease
84.17,32.652,Disease
53.41,29.8392,Disease
35.13,19.846,Disease
58.55,22.8232,Disease
84.92,34.1502,Disease
73.1,29.3496,Disease
89.0,32.6607,Disease
77.31,30.8796,Disease
48.15,25.1388,Disease
39.36,17.9259,Disease
65.85,27.0561,Disease
54.37,27.3372,Disease
65.23,30.5358,Disease
69.16,25.7812,Disease
30.98,24.7153,Disease
69.58,30.0757,Disease
87.72,28.996,Disease
29.82,20.8083,Disease
43.18,25.6736,Disease
55.53,29.2425,Disease
64.44,24.0822,Disease
89.0,32.9603,Disease
53.12,24.666,Disease
81.69,26.6508,Disease
82.1,34.3021,Disease
50.19,24.1008,Disease
61.44,26.856,Disease
48.44,21.3437,Disease
20.0,22.5536,Disease
63.19,28.1443,Disease
38.24,28.457,Disease
61.09,27.8665,Disease
38.37,23.2599,Disease
46.58,27.8628,Disease
45.83,27.0556,Disease
64.52,28.5622,Disease
49.72,26.0427,Disease
53.36,24.4225,Disease
56.67,25.5944,Disease
67.52,26.0404,Disease
55.85,25.6753,Disease
58.06,23.0319,Disease
55.85,25.8852,Disease
76.05,28.1667,Disease
51.2,26.544,Disease
25.48,19.6871,Disease
60.82,29.2629,Disease
63.02,29.4566,Disease
74.29,28.4305,Disease
53.81,30.3422,Disease
36.81,20.9892,Disease
66.06,25.7168,Disease
43.04,27.9332,Disease
56.75,29.8153,Disease
64.01,29.0855,Disease
43.18,21.204,Disease
37.92,23.2584,Disease
78.36,32.0921,Disease
55.28,25.7992,Disease
20.29,13.4827,Disease
56.29,26.7859,Disease
35.28,21.5025,Disease
43.84,23.8659,Disease
71.99,26.9237,Disease
58.65,28.9779,Disease
86.44,32.6152,Disease
58.62,25.1333,Disease
40.48,21.6872,Disease
66.47,29.4315,Disease
51.71,23.6829,Disease
62.39,29.8806,Disease
55.27,27.1329,Disease
51.63,26.6798,Disease
52.7,23.2606,Disease
61.91,28.0159,Disease
20.0,18.5066,Disease
62.55,26.4462,Disease
56.97,26.9427,Disease
54.71,23.439,Disease
42.9,24.3122,Disease
38.58,26.4254,Disease
63.66,28.5867,Disease
35.67,19.2047,Disease
52.27,23.016,Disease
63.13,28.9032,Disease
63.78,25.1,Disease
53.72,25.3238,Disease
76.71,31.5099,Disease
51.01,26.333,Disease
20.0,16.3412,Disease
42.58,22.6629,Disease
49.09,24.565,Disease
50.96,26.3249,Disease
60.11,24.1092,Disease
60.76,26.3512,Disease
68.26,28.5529,Disease
62.06,23.1647,Disease
65.64,29.5339,Disease
85.2,34.9243,Disease
45.38,26.2397,Disease
59.37,27.7427,Disease
53.77,25.7835,Disease
27.32,19.8695,Disease
48.64,20.3054,Disease
38.47,22.0005,Disease
61.92,26.6228,Disease
75.04,27.8216,Disease
36.64,22.7661,Disease
50.81,30.1714,Disease
69.85,30.5242,Disease
55.43,27.9661,Disease
63.76,28.0499,Disease
49.18,22.6602,Disease
43.46,21.5921,Disease
67.86,33.6832,Disease
29.42,18.4765,Disease
62.88,27.2301,Disease
43.92,27.0667,Disease
59.96,30.4439,Disease
73.26,33.0175,Disease
31.45,22.0388,Disease
54.25,28.3596,Disease
32.93,24.5309,Disease
32.93,21.9663,Disease
42.13,27.0621,Disease
51.46,22.5974,Disease
33.05,24.1517,Disease
57.1,22.6239,Disease
46.98,21.7092,Disease
66.22,29.0588,Disease
20.0,20.5001,Disease
