case_id,model,structure,dice,hd95,assd
CT000,U-Net,Liver,0.89603,2.2274,0.4966
CT000,U-Net,Spleen,0.86055,3.6015,0.7345
CT000,U-Net,Kidney L,0.87334,5.1634,1.2227
CT000,U-Net,Kidney R,0.8772,4.7803,1.0705
CT000,U-Net,Tumour,0.64448,16.7474,3.7925
CT000,Attention U-Net,Liver,0.93158,2.0197,0.41
CT000,Attention U-Net,Spleen,0.84532,5.2399,1.2893
CT000,Attention U-Net,Kidney L,0.89353,6.0124,1.5573
CT000,Attention U-Net,Kidney R,0.86347,6.2504,1.8195
CT000,Attention U-Net,Tumour,0.67656,14.0014,3.4204
CT000,nnU-Net,Liver,0.91752,2.5377,0.5585
CT000,nnU-Net,Spleen,0.91879,2.7997,0.6624
CT000,nnU-Net,Kidney L,0.91327,3.4973,0.8564
CT000,nnU-Net,Kidney R,0.88649,3.4487,0.9192
CT000,nnU-Net,Tumour,0.85619,7.8651,2.7284
CT001,U-Net,Liver,0.85132,3.0341,0.7361
CT001,U-Net,Spleen,0.8175,2.7622,0.7983
CT001,U-Net,Kidney L,0.9251,8.3834,2.2399
CT001,U-Net,Kidney R,0.85843,5.3183,1.2187
CT001,U-Net,Tumour,0.50288,19.5315,5.0681
CT001,Attention U-Net,Liver,0.91745,2.9914,0.6996
CT001,Attention U-Net,Spleen,0.91893,3.7711,0.9701
CT001,Attention U-Net,Kidney L,0.84944,4.5455,1.0345
CT001,Attention U-Net,Kidney R,0.90057,5.4748,1.3414
CT001,Attention U-Net,Tumour,0.74155,14.4491,3.2921
CT001,nnU-Net,Liver,0.90249,2.3589,0.59
CT001,nnU-Net,Spleen,0.88081,3.2455,0.6572
CT001,nnU-Net,Kidney L,0.83412,6.5479,1.4214
CT001,nnU-Net,Kidney R,0.87001,5.5712,1.2055
CT001,nnU-Net,Tumour,0.70788,11.0448,2.1826
CT002,U-Net,Liver,0.90233,2.0166,0.4647
CT002,U-Net,Spleen,0.90346,3.4771,0.7359
CT002,U-Net,Kidney L,0.81747,4.696,1.2206
CT002,U-Net,Kidney R,0.8775,7.03,1.8742
CT002,U-Net,Tumour,0.82853,14.8588,3.7131
CT002,Attention U-Net,Liver,0.94711,4.1156,1.0312
CT002,Attention U-Net,Spleen,0.9238,2.9927,0.7167
CT002,Attention U-Net,Kidney L,0.89508,3.5923,0.9642
CT002,Attention U-Net,Kidney R,0.92875,3.6984,0.7543
CT002,Attention U-Net,Tumour,0.61353,13.0367,2.6264
CT002,nnU-Net,Liver,0.999,4.6915,1.022
CT002,nnU-Net,Spleen,0.97011,3.4955,0.9491
CT002,nnU-Net,Kidney L,0.96373,3.5794,0.8153
CT002,nnU-Net,Kidney R,0.91569,4.5631,1.319
CT002,nnU-Net,Tumour,0.88359,20.3385,4.6949
CT003,U-Net,Liver,0.93098,3.6445,0.7202
CT003,U-Net,Spleen,0.9365,3.0473,0.6584
CT003,U-Net,Kidney L,0.8592,5.8926,2.0562
CT003,U-Net,Kidney R,0.89355,4.7085,1.0067
CT003,U-Net,Tumour,0.77182,11.3682,2.9114
CT003,Attention U-Net,Liver,0.95312,2.8866,0.8004
CT003,Attention U-Net,Spleen,0.94358,3.9559,0.8395
CT003,Attention U-Net,Kidney L,0.92934,2.4652,0.6008
CT003,Attention U-Net,Kidney R,0.9042,5.9929,1.658
CT003,Attention U-Net,Tumour,0.82237,10.2796,2.1508
CT003,nnU-Net,Liver,0.99027,1.8466,0.3684
CT003,nnU-Net,Spleen,0.94415,3.3523,0.744
CT003,nnU-Net,Kidney L,0.90934,4.2358,1.1435
CT003,nnU-Net,Kidney R,0.94266,3.2785,0.919
CT003,nnU-Net,Tumour,0.65983,14.5077,4.0452
CT004,U-Net,Liver,0.93528,4.4864,1.0314
CT004,U-Net,Spleen,0.93346,3.939,0.894
CT004,U-Net,Kidney L,0.88124,7.4399,1.4576
CT004,U-Net,Kidney R,0.92573,6.7779,1.5088
CT004,U-Net,Tumour,0.63744,13.9972,3.7962
CT004,Attention U-Net,Liver,0.95952,3.088,0.6462
