channel,t,amplitude
Bearing A,0.0,0.476078
Bearing A,0.001,0.404837
Bearing A,0.002,0.651798
Bearing A,0.003,0.707288
Bearing A,0.004,1.01156
Bearing A,0.005,0.74076
Bearing A,0.006,0.583689
Bearing A,0.007,0.456891
Bearing A,0.008,0.679119
Bearing A,0.009,1.058067
Bearing A,0.01,1.308456
Bearing A,0.011,1.187628
Bearing A,0.012,0.323345
Bearing A,0.013,-0.442979
Bearing A,0.014,-0.994278
Bearing A,0.015,-0.886675
Bearing A,0.016,-0.467621
Bearing A,0.017,-0.280232
Bearing A,0.018,0.083615
Bearing A,0.019,0.518202
Bearing A,0.02,0.619542
Bearing A,0.021,1.041354
Bearing A,0.022,1.210789
Bearing A,0.023,1.028881
Bearing A,0.024,1.30867
Bearing A,0.025,0.933222
Bearing A,0.026,1.016042
Bearing A,0.027,0.751404
Bearing A,0.028,1.179418
Bearing A,0.029,1.118649
Bearing A,0.03,0.95436
Bearing A,0.031,0.522712
Bearing A,0.032,-0.315618
Bearing A,0.033,-1.028852
Bearing A,0.034,-1.322297
Bearing A,0.035,-1.506947
Bearing A,0.036,-1.215363
Bearing A,0.037,-0.319476
Bearing A,0.038,-0.225722
Bearing A,0.039,0.254015
Bearing A,0.04,0.384643
Bearing A,0.041,0.311962
Bearing A,0.042,0.757469
Bearing A,0.043,1.129581
Bearing A,0.044,0.720241
Bearing A,0.045,0.949786
Bearing A,0.046,0.734486
Bearing A,0.047,0.450313
Bearing A,0.048,0.873539
Bearing A,0.049,0.865776
Bearing A,0.05,1.118216
Bearing A,0.051,0.905222
Bearing A,0.052,-0.063507
Bearing A,0.053,-0.507794
Bearing A,0.054,-1.247311
Bearing A,0.055,-1.384241
Bearing A,0.056,-0.844146
Bearing A,0.057,-0.295558
Bearing A,0.058,-0.201682
Bearing A,0.059,0.086287
Bearing A,0.06,0.309852
Bearing A,0.061,0.288053
Bearing A,0.062,0.842119
Bearing A,0.063,0.933692
Bearing A,0.064,0.905664
Bearing A,0.065,0.719867
Bearing A,0.066,0.363632
Bearing A,0.067,0.674955
Bearing A,0.068,0.390739
Bearing A,0.069,0.656247
Bearing A,0.07,0.466438
Bearing A,0.071,0.621879
Bearing A,0.072,-0.224396
Bearing A,0.073,-1.099438
Bearing A,0.074,-1.349196
Bearing A,0.075,-1.211417
Bearing A,0.076,-1.071199
Bearing A,0.077,-0.701643
Bearing A,0.078,0.068183
Bearing A,0.079,0.36535
Bearing A,0.08,0.315744
