model,seed,epoch,split,loss,accuracy,lr
ResNet-50,0,1,train,2.12238,0.45651,0.001
ResNet-50,0,2,train,1.91394,0.50587,0.001
ResNet-50,0,3,train,1.70597,0.54914,0.001
ResNet-50,0,4,train,1.54728,0.57541,0.001
ResNet-50,0,5,train,1.38779,0.60722,0.001
ResNet-50,0,6,train,1.23833,0.63262,0.001
ResNet-50,0,7,train,1.13816,0.65905,0.001
ResNet-50,0,8,train,1.00647,0.6796,0.001
ResNet-50,0,9,train,0.9076,0.70095,0.001
ResNet-50,0,10,train,0.85433,0.7246,0.001
ResNet-50,0,11,train,0.77806,0.7446,0.001
ResNet-50,0,12,train,0.64559,0.7635,0.001
ResNet-50,0,13,train,0.61646,0.76582,0.001
ResNet-50,0,14,train,0.55909,0.79143,0.001
ResNet-50,0,15,train,0.51244,0.80046,0.001
ResNet-50,0,16,train,0.45679,0.81502,0.001
ResNet-50,0,17,train,0.42523,0.83465,0.001
ResNet-50,0,18,train,0.38687,0.83044,0.001
ResNet-50,0,19,train,0.3326,0.84598,0.001
ResNet-50,0,20,train,0.30381,0.84558,0.001
ResNet-50,0,21,train,0.2939,0.85327,0.001
ResNet-50,0,22,train,0.27832,0.86748,0.001
ResNet-50,0,23,train,0.24197,0.87897,0.001
ResNet-50,0,24,train,0.20333,0.87247,0.001
ResNet-50,0,25,train,0.20465,0.89334,0.0003
ResNet-50,0,26,train,0.19662,0.88557,0.0003
ResNet-50,0,27,train,0.1722,0.89225,0.0003
ResNet-50,0,28,train,0.15524,0.90749,0.0003
ResNet-50,0,29,train,0.1427,0.90904,0.0003
ResNet-50,0,30,train,0.14104,0.90501,0.0003
ResNet-50,0,31,train,0.148,0.92111,0.0003
ResNet-50,0,32,train,0.12575,0.90669,0.0003
ResNet-50,0,33,train,0.12416,0.91925,0.0003
ResNet-50,0,34,train,0.11207,0.92403,0.0003
ResNet-50,0,35,train,0.10372,0.9228,0.0003
ResNet-50,0,36,train,0.11214,0.92329,0.0003
ResNet-50,0,37,train,0.08147,0.92405,0.0003
ResNet-50,0,38,train,0.10173,0.92643,0.0003
ResNet-50,0,39,train,0.0955,0.93024,0.0003
ResNet-50,0,40,train,0.10521,0.93998,0.0001
ResNet-50,0,41,train,0.08513,0.94151,0.0001
ResNet-50,0,42,train,0.06395,0.93777,0.0001
ResNet-50,0,43,train,0.09353,0.94086,0.0001
ResNet-50,0,44,train,0.07829,0.94091,0.0001
ResNet-50,0,45,train,0.07983,0.93425,0.0001
ResNet-50,0,46,train,0.07327,0.94062,0.0001
ResNet-50,0,47,train,0.05708,0.9497,0.0001
ResNet-50,0,48,train,0.07241,0.94503,0.0001
ResNet-50,0,49,train,0.0665,0.9581,0.0001
ResNet-50,0,50,train,0.04243,0.93772,0.0001
ResNet-50,0,51,train,0.05718,0.94773,0.0001
ResNet-50,0,52,train,0.04733,0.94108,3e-05
ResNet-50,0,53,train,0.07396,0.94824,3e-05
ResNet-50,0,54,train,0.04736,0.9588,3e-05
ResNet-50,0,55,train,0.07205,0.9533,3e-05
ResNet-50,0,56,train,0.04505,0.95688,3e-05
ResNet-50,0,57,train,0.08511,0.94658,3e-05
ResNet-50,0,58,train,0.04553,0.94552,3e-05
ResNet-50,0,59,train,0.04358,0.93718,3e-05
ResNet-50,0,60,train,0.05644,0.94878,3e-05
ResNet-50,0,1,val,2.20404,0.45606,0.001
ResNet-50,0,2,val,2.02322,0.50516,0.001
ResNet-50,0,3,val,1.88001,0.54238,0.001
ResNet-50,0,4,val,1.71319,0.57188,0.001
ResNet-50,0,5,val,1.55098,0.6025,0.001
ResNet-50,0,6,val,1.4381,0.62486,0.001
ResNet-50,0,7,val,1.34951,0.65113,0.001
ResNet-50,0,8,val,1.2156,0.67463,0.001
ResNet-50,0,9,val,1.09543,0.6925,0.001
ResNet-50,0,10,val,1.00057,0.71659,0.001
ResNet-50,0,11,val,0.90937,0.73389,0.001
ResNet-50,0,12,val,0.89042,0.75047,0.001
ResNet-50,0,13,val,0.82721,0.75558,0.001
ResNet-50,0,14,val,0.74763,0.78046,0.001
ResNet-50,0,15,val,0.71469,0.78298,0.001
ResNet-50,0,16,val,0.67293,0.80011,0.001
ResNet-50,0,17,val,0.61157,0.81548,0.001
ResNet-50,0,18,val,0.57442,0.81485,0.001
ResNet-50,0,19,val,0.52835,0.82429,0.001
ResNet-50,0,20,val,0.48639,0.83125,0.001
ResNet-50,0,21,val,0.45832,0.8331,0.001
ResNet-50,0,22,val,0.45461,0.84803,0.001
ResNet-50,0,23,val,0.42336,0.85889,0.001
ResNet-50,0,24,val,0.37609,0.85422,0.001
ResNet-50,0,25,val,0.35087,0.87732,0.0003
ResNet-50,0,26,val,0.3385,0.86092,0.0003
ResNet-50,0,27,val,0.31201,0.86882,0.0003
ResNet-50,0,28,val,0.31462,0.88775,0.0003
ResNet-50,0,29,val,0.30439,0.88796,0.0003
ResNet-50,0,30,val,0.29034,0.88176,0.0003
ResNet-50,0,31,val,0.2495,0.89747,0.0003
ResNet-50,0,32,val,0.26678,0.89191,0.0003
ResNet-50,0,33,val,0.22464,0.89867,0.0003
ResNet-50,0,34,val,0.19588,0.90059,0.0003
ResNet-50,0,35,val,0.22065,0.89753,0.0003
ResNet-50,0,36,val,0.23213,0.89488,0.0003
ResNet-50,0,37,val,0.24541,0.89911,0.0003
ResNet-50,0,38,val,0.20508,0.90313,0.0003
ResNet-50,0,39,val,0.18298,0.90861,0.0003
ResNet-50,0,40,val,0.19396,0.91831,0.0001
ResNet-50,0,41,val,0.18327,0.91468,0.0001
ResNet-50,0,42,val,0.21448,0.90845,0.0001
ResNet-50,0,43,val,0.20374,0.91267,0.0001
ResNet-50,0,44,val,0.16589,0.9156,0.0001
ResNet-50,0,45,val,0.12969,0.90858,0.0001
ResNet-50,0,46,val,0.15978,0.91729,0.0001
ResNet-50,0,47,val,0.13747,0.9209,0.0001
ResNet-50,0,48,val,0.14215,0.91197,0.0001
ResNet-50,0,49,val,0.18692,0.92906,0.0001
ResNet-50,0,50,val,0.15875,0.91469,0.0001
ResNet-50,0,51,val,0.12627,0.91606,0.0001
ResNet-50,0,52,val,0.13316,0.91195,3e-05
ResNet-50,0,53,val,0.10608,0.92342,3e-05
ResNet-50,0,54,val,0.14203,0.92813,3e-05
ResNet-50,0,55,val,0.15287,0.92439,3e-05
ResNet-50,0,56,val,0.13839,0.93412,3e-05
ResNet-50,0,57,val,0.1602,0.92049,3e-05
ResNet-50,0,58,val,0.15026,0.92051,3e-05
ResNet-50,0,59,val,0.13965,0.91502,3e-05
ResNet-50,0,60,val,0.15123,0.92278,3e-05
ResNet-50,1,1,train,2.16202,0.45366,0.001
ResNet-50,1,2,train,1.96157,0.49558,0.001
ResNet-50,1,3,train,1.76785,0.51455,0.001
ResNet-50,1,4,train,1.63887,0.55764,0.001
ResNet-50,1,5,train,1.49896,0.58668,0.001
ResNet-50,1,6,train,1.36088,0.60818,0.001
ResNet-50,1,7,train,1.25287,0.6446,0.001
ResNet-50,1,8,train,1.14097,0.65455,0.001
ResNet-50,1,9,train,1.06045,0.68503,0.001
ResNet-50,1,10,train,0.95356,0.69486,0.001
ResNet-50,1,11,train,0.8916,0.7134,0.001
ResNet-50,1,12,train,0.80743,0.73137,0.001
ResNet-50,1,13,train,0.73151,0.75285,0.001
ResNet-50,1,14,train,0.6948,0.76845,0.001
ResNet-50,1,15,train,0.62148,0.76977,0.001
ResNet-50,1,16,train,0.5568,0.78582,0.001
ResNet-50,1,17,train,0.52657,0.80692,0.001
ResNet-50,1,18,train,0.4719,0.80954,0.001
ResNet-50,1,19,train,0.44103,0.82776,0.001
ResNet-50,1,20,train,0.3922,0.83508,0.001
ResNet-50,1,21,train,0.36079,0.83856,0.001
ResNet-50,1,22,train,0.34369,0.84627,0.001
ResNet-50,1,23,train,0.33867,0.85965,0.001
ResNet-50,1,24,train,0.30257,0.85763,0.001
ResNet-50,1,25,train,0.26117,0.8616,0.0003
ResNet-50,1,26,train,0.25677,0.86824,0.0003
ResNet-50,1,27,train,0.23328,0.8846,0.0003
ResNet-50,1,28,train,0.20068,0.88275,0.0003
ResNet-50,1,29,train,0.20816,0.89077,0.0003
ResNet-50,1,30,train,0.18245,0.89059,0.0003
ResNet-50,1,31,train,0.17971,0.89158,0.0003
ResNet-50,1,32,train,0.15683,0.90192,0.0003
ResNet-50,1,33,train,0.13533,0.91677,0.0003
ResNet-50,1,34,train,0.15493,0.91756,0.0003
ResNet-50,1,35,train,0.12524,0.9041,0.0003
ResNet-50,1,36,train,0.1077,0.91365,0.0003
ResNet-50,1,37,train,0.14486,0.92287,0.0003
ResNet-50,1,38,train,0.09951,0.91902,0.0003
ResNet-50,1,39,train,0.1171,0.91787,0.0003
ResNet-50,1,40,train,0.09853,0.93294,0.0001
ResNet-50,1,41,train,0.10385,0.92834,0.0001
ResNet-50,1,42,train,0.1111,0.92602,0.0001
ResNet-50,1,43,train,0.11025,0.93711,0.0001
ResNet-50,1,44,train,0.07206,0.93105,0.0001
ResNet-50,1,45,train,0.10127,0.94418,0.0001
ResNet-50,1,46,train,0.08125,0.93285,0.0001
ResNet-50,1,47,train,0.08957,0.94427,0.0001
ResNet-50,1,48,train,0.09678,0.94478,0.0001
ResNet-50,1,49,train,0.06085,0.93039,0.0001
ResNet-50,1,50,train,0.0866,0.94789,0.0001
ResNet-50,1,51,train,0.06725,0.94337,0.0001
ResNet-50,1,52,train,0.07228,0.94288,3e-05
ResNet-50,1,53,train,0.05363,0.95334,3e-05
ResNet-50,1,54,train,0.06611,0.93489,3e-05
ResNet-50,1,55,train,0.05261,0.94241,3e-05
ResNet-50,1,56,train,0.05119,0.94028,3e-05
ResNet-50,1,57,train,0.09079,0.95119,3e-05
ResNet-50,1,58,train,0.06232,0.94747,3e-05
ResNet-50,1,59,train,0.05701,0.95388,3e-05
ResNet-50,1,60,train,0.05226,0.956,3e-05
ResNet-50,1,1,val,2.25957,0.45143,0.001
ResNet-50,1,2,val,2.04328,0.49223,0.001
ResNet-50,1,3,val,1.9094,0.50888,0.001
ResNet-50,1,4,val,1.77655,0.55985,0.001
ResNet-50,1,5,val,1.68324,0.58291,0.001
ResNet-50,1,6,val,1.52253,0.60408,0.001
ResNet-50,1,7,val,1.45624,0.63279,0.001
ResNet-50,1,8,val,1.33401,0.6439,0.001
ResNet-50,1,9,val,1.28874,0.67214,0.001
ResNet-50,1,10,val,1.15518,0.686,0.001
ResNet-50,1,11,val,1.07337,0.70412,0.001
ResNet-50,1,12,val,1.00635,0.71603,0.001
ResNet-50,1,13,val,0.95983,0.73938,0.001
ResNet-50,1,14,val,0.87524,0.75003,0.001
ResNet-50,1,15,val,0.82113,0.75012,0.001
ResNet-50,1,16,val,0.80751,0.76345,0.001
ResNet-50,1,17,val,0.757,0.79004,0.001
ResNet-50,1,18,val,0.68149,0.79027,0.001
ResNet-50,1,19,val,0.65016,0.80478,0.001
ResNet-50,1,20,val,0.62739,0.81593,0.001
